date,instrument,direction,entry,exit,R_mid,R_cross,rupees_mid,fees_rupees,fill_unit
2026-03-30,2127617,,,,-1.029,-1.029,-1029.0,29.0,R
2026-03-30,1304833,,,,0.1362,0.1362,136.2,16.6,R
2026-03-30,492033,,,,0.3779,0.3779,377.9,23.2,R
2026-03-30,356865,,,,-0.0093,-0.0093,-9.3,31.9,R
2026-03-30,60417,,,,0.5231,0.5231,523.1,26.1,R
2026-04-01,2674433,,,,0.9888,0.9888,988.8,29.8,R
2026-04-01,140033,,,,0.0777,0.0777,77.7,37.1,R
2026-04-01,197633,,,,-1.0598,-1.0598,-1059.8,59.5,R
2026-04-01,2962689,,,,0.7282,0.7282,728.2,17.7,R
2026-04-02,2127617,,,,1.7441,1.7441,1744.1,25.0,R
2026-04-02,130305,,,,-1.0158,-1.0158,-1015.8,15.8,R
2026-04-02,2455041,,,,1.4003,1.4003,1400.3,36.5,R
2026-04-06,738561,,,,0.4326,0.4326,432.6,27.2,R
2026-04-06,197633,,,,-1.0589,-1.0589,-1058.9,59.1,R
2026-04-06,356865,,,,0.567,0.567,567.0,32.2,R
2026-04-06,2977281,,,,0.7301,0.7301,730.1,36.2,R
2026-04-07,5436929,,,,1.0913,1.0913,1091.3,29.3,R
2026-04-07,348929,,,,0.7643,0.7643,764.3,22.5,R
2026-04-07,558337,,,,0.7693,0.7693,769.3,21.6,R
2026-04-07,3520257,,,,-1.0418,-1.0418,-1041.8,41.9,R
2026-04-08,197633,,,,-0.0426,-0.0426,-42.6,60.2,R
2026-04-09,3520257,,,,0.8257,0.8257,825.7,44.4,R
2026-04-10,2585345,,,,0.774,0.774,774.0,30.0,R
2026-04-10,5506049,,,,1.0604,1.0604,1060.4,16.4,R
2026-04-10,492033,,,,0.0459,0.0459,45.9,21.8,R
2026-04-10,1102337,,,,-0.0215,-0.0215,-21.5,21.7,R
2026-04-10,60417,,,,0.9572,0.9572,957.2,25.6,R
2026-04-13,2457345,,,,-0.0021,-0.0021,-2.1,31.6,R
2026-04-13,140033,,,,0.105,0.105,105.0,34.9,R
2026-04-13,2815745,,,,0.1449,0.1449,144.9,28.3,R
2026-04-15,5436929,,,,0.808,0.808,808.0,32.4,R
2026-04-15,424961,,,,0.4966,0.4966,496.6,49.3,R
2026-04-15,197633,,,,1.605,1.605,1605.0,59.6,R
2026-04-15,558337,,,,-0.0126,-0.0126,-12.6,21.9,R
2026-04-16,3520257,,,,0.2282,0.2282,228.2,42.9,R
2026-04-16,5582849,,,,-1.0212,-1.0212,-1021.2,21.2,R
2026-04-21,2962689,,,,-1.021,-1.021,-1021.0,21.0,R
2026-04-22,1304833,,,,-0.6612,-0.6612,-661.2,21.7,R
2026-04-23,424961,,,,0.6504,0.6504,650.4,52.4,R
2026-04-23,197633,,,,-1.0601,-1.0601,-1060.1,60.1,R
2026-04-23,60417,,,,0.0137,0.0137,13.7,27.6,R
2026-04-24,492033,,,,0.3084,0.3084,308.4,24.5,R
2026-04-24,1102337,,,,-1.0263,-1.0263,-1026.3,26.3,R
2026-04-27,5582849,,,,1.005,1.005,1005.0,48.6,R
2026-04-27,2585345,,,,-1.0303,-1.0303,-1030.3,30.4,R
2026-04-27,558337,,,,0.4271,0.4271,427.1,25.8,R
2026-04-28,2457345,,,,-0.0058,-0.0058,-5.8,30.5,R
2026-04-29,2674433,,,,-1.0377,-1.0377,-1037.7,37.7,R
2026-04-30,2952193,,,,0.3824,0.3824,382.4,29.4,R
2026-05-04,5506049,,,,0.3803,0.3803,380.3,21.0,R
2026-05-04,492033,,,,0.2898,0.2898,289.8,25.0,R
2026-05-04,197633,,,,1.8106,1.8106,1810.6,64.7,R
2026-05-04,1102337,,,,0.6385,0.6385,638.5,24.8,R
2026-05-05,5013761,,,,-1.03,-1.03,-1030.0,29.9,R
2026-05-05,424961,,,,-1.0523,-1.0523,-1052.3,51.9,R
2026-05-06,2815745,,,,-0.5683,-0.5683,-568.3,30.6,R
2026-05-07,2674433,,,,0.0854,0.0854,85.4,34.6,R
2026-05-07,175361,,,,-1.0225,-1.0225,-1022.5,22.5,R
2026-05-07,348929,,,,0.4578,0.4578,457.8,28.7,R
2026-05-08,5013761,,,,0.0253,0.0253,25.3,30.9,R
2026-05-11,1215745,,,,-1.0358,-1.0358,-1035.8,35.7,R
2026-05-11,5533185,,,,-0.1684,-0.1684,-168.4,15.7,R
2026-05-11,2585345,,,,-0.4302,-0.4302,-430.2,28.0,R
2026-05-11,140033,,,,-1.0353,-1.0353,-1035.3,35.3,R
2026-05-12,2952193,,,,-1.033,-1.033,-1033.0,33.0,R
2026-05-12,2127617,,,,-1.0317,-1.0317,-1031.7,31.7,R
2026-05-12,197633,,,,-1.0645,-1.0645,-1064.5,64.2,R
